category,date,desc,location,source,title
Bisnis,"Rabu, 15 April 2020 17:49 WIB", Pengamat perpajakan Yustinus Prastowo mengaku kagok jadi Staf Khusus Menteri Keuangan Sri Mulyani di Kementerian Keuangan (Kemenkeu). Pengangkatan Yustinus termaktub dalam Keputusan Menteri Nomor 189/KMK.01/2020.,JAKARTA -,Tribunnews.com,"Yustinus Prastowo Resmi jadi Staf Khusus Menkeu Sri Mulyani: Kagok, Sekarang Hati-hati"
Bisnis,"Rabu, 15 April 2020 07:29 WIB"," Nama Andi Taufan Garuda Putra, jadi buah bibir publik.",null,Tribunnews.com,"Pendiri Perusahaan Rintisan dan Stafsus Milenial Jokowi, Ini Profil Andi Taufan Garuda"
Bisnis,"Rabu, 15 April 2020 05:56 WIB", - PT PLN (Persero) menggratiskan listrik bagi pelanggan daya 450 VA serta diskon 50 persen bagi pelanggan 900 VA subsidi.,null,Tribunnews.com,"Dapatkan Token Listrik Gratis dan Diskon 50%, Login www.pln.co.id atau WhatsApp 08122-123-123"
Bisnis,"Rabu, 15 April 2020 10:37 WIB","Harga emas batangan PT Aneka Tambang (Antam) hari ini turun Rp 5.000, menjadi Rp 943.000 per gramnya.",null,Tribunnews.com,"Turun Rp 5.000, Harga Emas Antam Hari Ini 15 April 2020 Menjadi Rp 943.000 per Gramnya"
Bisnis,"Rabu, 15 April 2020 08:53 WIB"," Pendaftaran kartu Prakerja telah dibuka sejak Sabtu (11/4/2020), lalu.",null,Tribunnews.com,"Berakhir Besok, Panduan Cara Daftar Kartu Prakerja, Siapkan 5 Hal sebelum Akses www.prakerja.go.id"
Bisnis,"Rabu, 15 April 2020 09:27 WIB"," PT Fast Food Indonesia Tbk (FAST), pemegang hak waralaba tunggal Kentucky Fried Chicken (KFC), akhirnya memberikan penjelasan soal ratusan karyawan yang terpaksa dirumahkan akibat kondisi pandemi Covid-19.",JAKARTA -,Tribunnews.com,Ini Penjelasan Manajemen KFC soal Ratusan Pekerja yang Dirumahkan
Bisnis,"Rabu, 15 April 2020 09:38 WIB"," -  Menteri Keuangan Sri Mulyani Indrawati memastikan bahwa tunjangan hari raya ( ) untuk aparatur sipil negara (ASN), TNI, dan Polri akan dibayarkan sesuai dengan waktu yang telah ditentukan.",null,Tribunnews.com,"THR untuk PNS Eselon III ke Bawah Dipastikan Cair, tetapi Jumlahnya Berkurang"
Bisnis,"Rabu, 15 April 2020 08:17 WIB","Sejak bulan April 2020, PT  (Persero) mulai memberikan keringanan biaya listrik bagi masyarakat.",null,Tribunnews.com,"Cara Dapat Listrik Gratis dan Diskon 50 Persen, Akses www.pln.co.id atau WhatsApp 08122-123-123"
Bisnis,"Rabu, 15 April 2020 07:58 WIB",Pemerintah Indonesia melalui Pelaksana Program Kartu Prakerja tidak memungut biaya dalam penyaluran insentif per bulan sebesar Rp 600 ribu selama empat bulan kepada peserta yang mengikuti program Kartu Prakerja.,null,Tribunnews.com,"Dibuka 4 Hari, Sebanyak 4 Juta Orang Mendaftar Program Kartu Prakerja"
Bisnis,"Rabu, 15 April 2020 10:41 WIB","Rupiah di pasar spot dibuka stagnan. Mengutip Bloomberg, Rabu (15/4) pukul 09.00 WIB, rupiah spot dibuka di level Rp 15.645 per dolar Amerika Serikat (AS).",null,Tribunnews.com,"Rabu Pagi, Rupiah Dibuka Stagnan di Level Rp 15.645 per Dolar AS"
Bisnis,"Rabu, 15 April 2020 10:50 WIB","AirAsia Indonesia menyelenggarakan penerbangan khusus dari Semarang ke Manila dalam rangka mendukung misi Kedutaan Besar Republik Filipina untuk memulangkan warganya yang berada di Jawa Tengah, pada Selasa (14/4/2020).",null,Tribunnews.com,AirAsia Bantu Repatriasi Warga Negara Filipina
